id,title,total_books,total_votes
93101,Best Books Ever,122608,256088
80660,Best Books Ever,122608,256088
27003,Best Books Ever,122608,256088
26032912,Best Books Ever,122608,256088
2299110,Best Books Ever,122608,256088
140077,Best Books Ever,122608,256088
13206760,Best Books Ever,122608,256088
57891,Best Books Ever,122608,256088
31122,Best Books Ever,122608,256088
30868,Best Books Ever,122608,256088
227571,Best Books Ever,122608,256088
7723542,Best Books Ever,122608,256088
366522,Best Books Ever,122608,256088
7631105,Best Books Ever,122608,256088
46756,Best Books Ever,122608,256088
18705209,Best Books Ever,122608,256088
1554,Best Books Ever,122608,256088
24861,Best Books Ever,122608,256088
10357575,Best Books Ever,122608,256088
18774964,Best Books Ever,122608,256088
22557272,Best Books Ever,122608,256088
547094,Best Books Ever,122608,256088
56732449,Best Books Ever,122608,256088
10534,Best Books Ever,122608,256088
33507,Best Books Ever,122608,256088
23692271,Best Books Ever,122608,256088
415,Best Books Ever,122608,256088
6482837,Best Books Ever,122608,256088
43758,Best Books Ever,122608,256088
10569,Best Books Ever,122608,256088
26032887,Best Books Ever,122608,256088
32049,Best Books Ever,122608,256088
5064,Best Books Ever,122608,256088
7967,Best Books Ever,122608,256088
59219,Best Books Ever,122608,256088
110737,Best Books Ever,122608,256088
50033,Best Books Ever,122608,256088
61431922,Best Books Ever,122608,256088
52529,Best Books Ever,122608,256088
60510,Best Books Ever,122608,256088
40097951,Best Books Ever,122608,256088
11408650,Best Books Ever,122608,256088
7869,Best Books Ever,122608,256088
29908754,Best Books Ever,122608,256088
99300,Best Books Ever,122608,256088
7747374,Best Books Ever,122608,256088
248596,Best Books Ever,122608,256088
2536134,Best Books Ever,122608,256088
27523,Best Books Ever,122608,256088
35729,Best Books Ever,122608,256088
13006,Best Books Ever,122608,256088
92517,Best Books Ever,122608,256088
89724,Best Books Ever,122608,256088
179064,Best Books Ever,122608,256088
13642,Best Books Ever,122608,256088
5527,Best Books Ever,122608,256088
40495957,Best Books Ever,122608,256088
15638,Best Books Ever,122608,256088
50659468,Best Books Ever,122608,256088
2767,Best Books Ever,122608,256088
36236125,Best Books Ever,122608,256088
10441,Best Books Ever,122608,256088
88077,Best Books Ever,122608,256088
2203,Best Books Ever,122608,256088
8682,Best Books Ever,122608,256088
65151985,Best Books Ever,122608,256088
123175195,Best Books Ever,122608,256088
18300212,Best Books Ever,122608,256088
53138095,Best Books Ever,122608,256088
38311414,Best Books Ever,122608,256088
6440,Best Books Ever,122608,256088
374233,Best Books Ever,122608,256088
13414446,Best Books Ever,122608,256088
12914,Best Books Ever,122608,256088
32423,Best Books Ever,122608,256088
164154,Best Books Ever,122608,256088
2052,Best Books Ever,122608,256088
703292,Best Books Ever,122608,256088
6853,Best Books Ever,122608,256088
11125,Best Books Ever,122608,256088
54479,Best Books Ever,122608,256088
4953,Best Books Ever,122608,256088
33590260,Best Books Ever,122608,256088
567678,Best Books Ever,122608,256088
13872,Best Books Ever,122608,256088
10965,Best Books Ever,122608,256088
6320534,Best Books Ever,122608,256088
7304203,Best Books Ever,122608,256088
10967,Best Books Ever,122608,256088
321552,Best Books Ever,122608,256088
16328,Best Books Ever,122608,256088
304027,Best Books Ever,122608,256088
44652,Best Books Ever,122608,256088
667,Best Books Ever,122608,256088
4982,Best Books Ever,122608,256088
7728,Best Books Ever,122608,256088
9014,Best Books Ever,122608,256088
18545,Best Books Ever,122608,256088
3980,Best Books Ever,122608,256088
14290364,Best Books Ever,122608,256088
40024,Best Books Ever,122608,256088
821611,Best Books Ever,122608,256088
6262365,Best Books Ever,122608,256088
3478,Best Books Ever,122608,256088
55030,Best Books Ever,122608,256088
47989,Best Books Ever,122608,256088
34497,Best Books Ever,122608,256088
1202,Best Books Ever,122608,256088
16286,Best Books Ever,122608,256088
19351490,Best Books Ever,122608,256088
323355,Best Books Ever,122608,256088
34521870,Best Books Ever,122608,256088
7061,Best Books Ever,122608,256088
1431,Best Books Ever,122608,256088
4865,Best Books Ever,122608,256088
24768,Best Books Ever,122608,256088
9416,Best Books Ever,122608,256088
32822135,Best Books Ever,122608,256088
2967752,Best Books Ever,122608,256088
6325285,Best Books Ever,122608,256088
15839976,Best Books Ever,122608,256088
7864437,Best Books Ever,122608,256088
5091,Best Books Ever,122608,256088
41219,Best Books Ever,122608,256088
45047384,Best Books Ever,122608,256088
682804,Best Books Ever,122608,256088
452306,Best Books Ever,122608,256088
11557,Best Books Ever,122608,256088
11334,Best Books Ever,122608,256088
18045891,Best Books Ever,122608,256088
58679358,Best Books Ever,122608,256088
14995,Best Books Ever,122608,256088
27883214,Best Books Ever,122608,256088
73968,Best Books Ever,122608,256088
9673436,Best Books Ever,122608,256088
140082,Best Books Ever,122608,256088
78433,Best Books Ever,122608,256088
7770,Best Books Ever,122608,256088
3805,Best Books Ever,122608,256088
19547856,Best Books Ever,122608,256088
6295,Best Books Ever,122608,256088
77197,Best Books Ever,122608,256088
13831,Best Books Ever,122608,256088
112750,Best Books Ever,122608,256088
6882,Best Books Ever,122608,256088
41057294,Best Books Ever,122608,256088
53496,Best Books Ever,122608,256088
248704,Best Books Ever,122608,256088
62986809,Best Books Ever,122608,256088
85990,Best Books Ever,122608,256088
14249,Best Books Ever,122608,256088
76401,Best Books Ever,122608,256088
1371,Best Books Ever,122608,256088
131359,Best Books Ever,122608,256088
2767793,Best Books Ever,122608,256088
44778083,Best Books Ever,122608,256088
852470,Best Books Ever,122608,256088
35133922,Best Books Ever,122608,256088
150184023,Best Books Ever,122608,256088
9532,Best Books Ever,122608,256088
3388,Best Books Ever,122608,256088
10374,Best Books Ever,122608,256088
37095,Best Books Ever,122608,256088
34384161,Best Books Ever,122608,256088
4631,Best Books Ever,122608,256088
5391115,Best Books Ever,122608,256088
